time,lon,lat,depth,mag
2022-10-28T23:35:14.481000Z,-76.2107,-14.5297,10.0,5.2
2022-10-28T23:19:59.619000Z,-76.2845,-3.7733,108.034,4.6
2022-10-28T22:54:49.547000Z,-76.3812,-14.4187,10.0,4.7
2022-10-28T22:52:16.068000Z,-76.1611,-14.5431,8.685,5.2
2022-10-28T20:27:13.875000Z,-76.3838,-14.5573,10.0,4.5
2022-10-28T20:22:05.749000Z,-76.1843,-14.5261,14.0,5.9
2022-10-28T19:19:10.470000Z,-75.9568,-14.5069,39.541,4.6
2022-10-28T19:16:16.434000Z,-76.229,-14.6361,10.0,4.4
2022-10-28T18:33:01.312000Z,-69.2882,-17.6795,155.249,4.5
2022-10-28T14:21:23.818000Z,-76.1527,-14.4735,28.544,4.7
2022-10-28T12:21:40.961000Z,-66.8608,-24.2256,200.258,4.3
2022-10-28T10:56:48.407000Z,-76.2542,-14.4826,25.026,4.5
2022-10-28T09:17:00.780000Z,-75.9441,-14.4266,35.0,4.6
2022-10-28T09:11:54.617000Z,-76.2365,-14.5129,21.642,4.9
2022-10-27T19:24:48.988000Z,-80.6395,-6.3676,58.797,4.2
2022-10-27T00:13:45.324000Z,-66.5355,-27.9264,167.055,4.4
2022-10-26T14:30:44.053000Z,-67.1749,-24.289,196.827,4.4
2022-10-26T13:18:58.366000Z,-67.0643,-24.2018,178.631,4.2
2022-10-26T10:11:37.584000Z,-76.3238,-15.3635,10.0,4.6
2022-10-26T09:45:22.100000Z,-80.7856,-4.0126,42.031,4.5
2022-10-26T07:52:13.849000Z,-66.9679,-24.085,178.198,5.1
2022-10-26T03:06:13.342000Z,-80.5835,-4.7937,59.377,4.4
2022-10-26T01:34:17.039000Z,-66.9726,-24.2416,200.466,4.0
2022-10-24T06:48:58.129000Z,-71.437,-30.699,45.845,4.0
2022-10-24T05:04:40.403000Z,-76.2853,-7.4555,109.47,5.0
2022-10-23T21:22:02.885000Z,-66.2185,-27.975,155.823,4.4
2022-10-23T02:08:29.407000Z,-68.7302,-22.0024,104.994,5.1
2022-10-21T21:26:22.858000Z,-65.9915,-22.3669,269.84,4.3
2022-10-21T18:25:52.704000Z,-80.9564,-6.4986,24.66,4.6
2022-10-21T15:33:37.595000Z,-66.4822,-22.8306,217.953,4.5
2022-10-21T15:08:22.863000Z,-71.6177,-30.5848,36.258,4.4
2022-10-21T10:53:39.799000Z,-69.5271,-18.4416,133.197,4.2
2022-10-20T20:46:03.669000Z,-70.6851,-24.0477,32.417,4.7
2022-10-20T02:26:07.116000Z,-68.9392,-21.1495,118.42,4.3
2022-10-19T22:51:23.725000Z,-66.9737,-24.2273,185.056,4.2
2022-10-19T21:55:23.984000Z,-77.6628,-1.6438,181.838,4.6
2022-10-19T13:34:24.220000Z,-79.6636,-2.2165,83.687,4.2
2022-10-19T03:27:04.672000Z,-69.2172,-20.6485,99.026,4.4
